	names(gene_matrix2)
633	234595
634	234593
635	382051
636	277973
637	13018
638	20650
639	64340
640	12554
641	56453
642	72042
643	57340
644	12398
645	77087
646	57247
647	73420
648	330863
649	270110
650	102637311
651	14608
652	244713
653	102640025
654	235044
655	66948
656	192663
657	12282
658	235339
659	73699
660	244879
661	56807
662	71742
663	20361
664	76524
665	56469
666	26395
667	17999
668	11891
669	21983
670	109785
671	56403
672	211949
673	64655
674	50797
675	23873
676	27399
677	83669
678	12530
679	235623
680	235626
681	67213
682	54214
683	17433
684	209737
685	102436
686	16506
687	68041
688	23890
689	319200
690	18555
691	13712
692	30878
693	631990
694	18194
695	11666
696	245537
697	279653
698	215693
699	320606
700	110639
701	170942
