samplename,condition
FT01DA,FoodTrained
FT02DA,FoodTrained
FT04DA,FoodTrained
MN01DA,Maintenance
MN02DA,Maintenance
MN03DA,Maintenance
CRV01DA,Craving
CRV02DA,Craving
CRV03DA,Craving
CRV04DA,Craving
