	FT01DA	FT02DA	FT04DA	MN01DA	MN02DA	MN03DA	CRV01DA	CRV02DA	CRV03DA	CRV04DA
Adgrb3|Adgrb3	9818	9890	9870	11485	4750	9011	9046	12560	11884	6226
Gm20172|Gm20172	12	30	91	398	190	140	212	99	151	222
Gm32229|Gm32229	32	20	14	0	4	36	27	29	60	38
Rab23|Rab23	2838	1592	960	990	1465	1306	936	1266	1543	655
Prim2|Prim2	118	492	188	213	163	348	209	152	263	267
Gm39618|Gm39618	0	0	0	0	0	0	0	0	0	0
1700001G17Rik|1700001G17Rik	532	345	600	499	357	196	1337	1896	910	1007
Bag2|Bag2	312	377	627	268	133	333	36	671	471	454
Khdrbs2|Khdrbs2	2960	2912	2191	1853	2054	876	1931	1768	2052	2034
Gm9839|Gm9839	0	0	0	0	0	65	0	4	0	0
Gm5415|Gm5415	2	2	118	9	802	258	524	247	216	117
Zfp451|Zfp451	7128	3658	2992	4457	2177	1517	3130	3117	3517	3018
Bend6|Bend6	3482	2325	1291	2150	1426	1618	2575	6354	5199	2956
Gm38471|Gm38471	92	238	0	532	0	31	5	152	0	16
LOC108167618|LOC108167618	748	472	821	925	167	628	117	272	760	379
Amer3|Amer3	820	27	976	1186	401	97	684	342	1086	801
Gm32790|Gm32790	0	0	0	97	217	34	8	13	0	18
Ccdc115|Ccdc115	1978	623	1140	1641	383	885	998	1502	1329	887
Imp4|Imp4	1633	1723	578	1372	859	642	1853	1120	1314	1096
Arhgef4|Arhgef4	4741	2762	4935	4341	901	1027	2166	8327	6212	1418
Fam168b|Fam168b	2008	1629	1679	2407	699	1247	2777	2240	2455	1001
Dst|Dst	20661	14065	15929	17581	16298	14914	11523	13683	26972	11669
Mir6896|Mir6896	22	0	7	0	7	0	0	4	10	13
LOC108167617|LOC108167617	53	0	81	21	78	17	260	26	8	118
Hs6st1|Hs6st1	1684	1213	1976	2104	713	3077	1592	2057	3255	986
Plekhb2|Plekhb2	11456	7606	10099	12991	3337	5091	5902	13142	11010	6433
Arid5a|Arid5a	194	0	177	259	0	34	0	466	609	234
Kansl3|Kansl3	3939	2803	3518	976	1773	1257	1976	4377	4407	2489
Mir6898|Mir6898	0	0	0	0	0	0	0	0	0	0
Fer1l5|Fer1l5	199	166	582	16	49	60	472	475	381	126
Lman2l|Lman2l	7066	4237	8165	7500	2095	3612	6858	12731	9120	3420
Cnnm4|Cnnm4	9014	8178	12937	15848	5057	13621	9374	14534	13598	5258
Uggt1|Uggt1	10074	6316	8698	10122	4264	9105	7825	10145	12728	5945
Mir6897|Mir6897	0	0	7	0	0	0	0	0	0	0
Gm39625|Gm39625	0	0	3	0	0	11	0	19	11	16
Cnnm3|Cnnm3	2492	260	2107	1947	848	1416	887	1482	2720	1306
Ankrd23|Ankrd23	929	0	299	141	189	59	291	439	738	284
