	FT01DA	FT02DA	FT04DA	FT01nDA	FT02nDA	FT04nDA
Mrm1|Mrm1	1881	1258	973	1153	681	752
Aatf|Aatf	3461	481	1390	3800	4459	2465
LOC108167915|LOC108167915	1177	1864	847	1221	1169	1960
Dhrs11|Dhrs11	809	987	409	1434	1080	1110
4930502E09Rik|4930502E09Rik	85	188	39	51	46	18
Car4|Car4	327	0	210	1002	1323	1307
Pigw|Pigw	196	574	105	257	178	287
Myo19|Myo19	940	338	260	1117	973	1123
Znhit3|Znhit3	950	154	781	475	681	483
Ggnbp2os|Ggnbp2os	1723	706	882	918	1438	759
Ggnbp2|Ggnbp2	7648	5988	6552	6482	9491	5348
1700125H20Rik|1700125H20Rik	85	186	61	132	92	38
Usp32|Usp32	2782	698	1518	1741	2546	1563
Ppm1d|Ppm1d	310	365	617	525	592	411
Appbp2|Appbp2	4513	2079	3239	3077	2417	2753
Gm38935|Gm38935	32	168	24	64	66	97
Appbp2os|Appbp2os	149	140	121	140	122	130
Bcas3|Bcas3	1833	1619	697	1659	2543	1250
Mir5110|Mir5110	0	0	0	0	0	0
2610027K06Rik|2610027K06Rik	0	0	0	13	9	0
Bcas3os1|Bcas3os1	67	29	61	134	176	143
Bcas3os2|Bcas3os2	41	0	1	37	32	14
Brip1|Brip1	0	0	0	17	42	0
Ints2|Ints2	1946	703	3180	2432	2952	2829
Gm38937|Gm38937	0	0	0	0	0	0
Gm33528|Gm33528	0	0	0	0	0	0
Rps6kb1|Rps6kb1	6274	4985	3920	7396	10914	7325
Tubd1|Tubd1	377	183	613	684	696	625
Brip1os|Brip1os	1633	606	1130	885	1166	850
Med13|Med13	1991	3138	2332	2173	2977	2635
Rnft1|Rnft1	1576	704	1014	2039	2405	2630
Gm42085|Gm42085	123	160	185	100	110	67
Dhx40|Dhx40	594	384	362	533	617	612
Ypel2|Ypel2	1912	2701	3850	10125	9360	9297
Prr11|Prr11	0	0	0	21	55	38
Smg8|Smg8	2112	1163	1805	492	535	757
Ska2|Ska2	227	6	212	267	330	355
Mir301|Mir301	0	1	0	1	2	3
Vmp1|Vmp1	35217	20927	29428	24787	39646	24177
Mir21a|Mir21a	1	1	1	1	1	1
LOC108167917|LOC108167917	326	514	243	1441	2026	1524
Gm11478|Gm11478	66	39	26	59	27	46
Ptrh2|Ptrh2	516	269	488	545	681	511
Cltc|Cltc	4713	3635	6741	4038	5548	4805
Gdpd1|Gdpd1	16901	8671	12694	6373	6823	7872
Trim37|Trim37	6744	2058	3382	4147	5254	4208
Gm33937|Gm33937	54	0	12	169	43	134
Ppm1e|Ppm1e	1545	216	2151	2069	2149	3115
Rad51c|Rad51c	330	0	412	257	287	280
Tex14|Tex14	26	107	50	75	72	87
Rnu1a1|Rnu1a1	0	0	2	3	2	2
Rnu3b1|Rnu3b1	0	0	7	0	6	0
Rnu3b3|Rnu3b3	0	15	0	2	0	0
Rnu3b4|Rnu3b4	5	0	0	0	0	2
Rnu3b2|Rnu3b2	0	0	0	0	0	0
Gm34000|Gm34000	0	0	0	21	0	14
Mtmr4|Mtmr4	2898	701	2615	3136	2807	3708
Hsf5|Hsf5	307	111	266	618	883	449
Sept4|Sept4	7088	3122	4669	18890	22781	12515
Supt4a|Supt4a	2116	361	988	477	717	497
Mks1|Mks1	764	204	236	1102	920	740
Bzrap1|Bzrap1	3471	663	1735	7720	2198	8089
Gm34064|Gm34064	66	0	0	18	6	17
Mpo|Mpo	240	0	97	14	12	256
Gm38610|Gm38610	0	0	52	71	33	26
Dynll2|Dynll2	2188	755	1805	1305	814	1687
Srsf1|Srsf1	4933	1679	1957	4037	4828	4842
Vezf1|Vezf1	2919	1837	913	2083	2690	2035
Mrps23|Mrps23	875	846	729	473	770	529
2210416O15Rik|2210416O15Rik	1	0	67	49	61	28
Cuedc1|Cuedc1	395	364	1438	2707	1716	1966
C030037D09Rik|C030037D09Rik	0	71	230	226	213	96
LOC102637854|LOC102637854	0	0	0	13	16	0
Gm525|Gm525	0	0	0	0	0	0
Akap1|Akap1	2289	1777	1013	2465	1796	2499
4930556N13Rik|4930556N13Rik	0	0	41	9	7	18
Scpep1os|Scpep1os	3	4	18	0	7	4
Gm15698|Gm15698	0	0	0	0	0	0
2210409E12Rik|2210409E12Rik	0	0	0	0	0	0
Scpep1|Scpep1	12991	4485	9197	4343	5571	3658
Coil|Coil	821	196	871	1373	1282	926
Nog|Nog	218	443	466	597	117	756
Msi2|Msi2	11291	14214	18201	10408	4592	12029
Mir378b|Mir378b	22	14	15	2	1	2
0610039H22Rik|0610039H22Rik	24	86	67	128	111	58
Dgkeos|Dgkeos	0	0	44	0	8	17
Dgke|Dgke	11150	9603	9788	5571	6042	6993
Mmd|Mmd	2058	2274	4449	1575	1854	4375
Ankfn1|Ankfn1	396	758	451	672	462	414
LOC108167919|LOC108167919	0	0	4	5	13	20
Hlf|Hlf	1177	614	997	1335	2337	1534
Gm34850|Gm34850	0	0	11	66	49	4
Stxbp4|Stxbp4	1141	776	2106	2189	3009	1966
Tom1l1|Tom1l1	194	623	576	687	969	654
Cox11|Cox11	5484	1791	3282	2882	2788	2587
Car10|Car10	2712	2052	2302	5590	4230	5298
Gm35002|Gm35002	774	155	485	2408	2188	2668
Nme2|Nme2	2378	691	762	491	894	525
Mbtd1|Mbtd1	3240	3967	3092	3979	4747	3547
Utp18|Utp18	898	609	865	1064	1113	1193
Nme1|Nme1	6617	3163	3675	2366	2843	1495
B230206L02Rik|B230206L02Rik	80	13	64	112	116	42
Gm35338|Gm35338	198	0	33	142	136	160
Gm38956|Gm38956	0	8	0	44	87	60
Gm21885|Gm21885	420	27	287	493	593	337
Tob1|Tob1	5027	2368	5031	2916	2563	3936
Spag9|Spag9	12187	12117	9153	10734	14852	13625
LOC108167922|LOC108167922	268	6	6	2	9	0
Gm38951|Gm38951	222	0	375	330	412	396
Ankrd40|Ankrd40	2265	1207	921	1541	1837	1242
Epn3|Epn3	60	114	0	124	112	110
Mycbpap|Mycbpap	256	46	535	500	286	329
Gm35650|Gm35650	0	0	0	0	0	0
Cacna1g|Cacna1g	2214	1472	1841	3734	1673	3536
Rsad1|Rsad1	3595	1109	1802	2529	1874	1707
Acsf2|Acsf2	4	0	0	81	30	43
Chad|Chad	328	0	0	147	134	79
Eme1|Eme1	0	0	0	34	18	0
Lrrc59|Lrrc59	1523	2124	2472	1148	1242	689
Mrpl27|Mrpl27	911	965	1151	667	1204	505
Luc7l3|Luc7l3	16042	8700	15493	25809	46439	22839
Xylt2|Xylt2	3019	804	3542	5341	1277	4386
Ppp1r9b|Ppp1r9b	1834	108	1469	2126	840	1895
Samd14|Samd14	1341	963	1089	1032	477	836
Gm11513|Gm11513	34	0	69	183	81	152
Pdk2|Pdk2	2668	796	2710	3254	2798	2660
Tac4|Tac4	0	0	0	0	5	0
LOC102640586|LOC102640586	0	0	0	0	0	0
Itga3|Itga3	7092	6445	10035	4056	1840	4565
Fam117a|Fam117a	134	0	134	483	197	208
Kat7|Kat7	2813	1384	1600	2541	2162	1752
LOC102640811|LOC102640811	0	0	39	11	27	38
Slc35b1|Slc35b1	10069	5574	8299	5354	5592	5229
Spop|Spop	3240	2762	3333	4024	4448	3599
Nxph3|Nxph3	1700	592	960	290	337	409
Ngfr|Ngfr	233	0	202	1147	295	787
Gm29873|Gm29873	92	0	0	0	16	3
Zfp652os|Zfp652os	0	0	0	17	42	15
Phb|Phb	7458	3857	6515	3552	4510	3242
B130006D01Rik|B130006D01Rik	2465	2412	736	643	702	1114
Zfp652|Zfp652	35	0	155	139	74	90
Gm38957|Gm38957	0	0	0	20	62	37
4833417C18Rik|4833417C18Rik	134	0	61	37	73	6
Gm38958|Gm38958	2	0	0	3	3	0
Phospho1|Phospho1	36	0	42	37	13	22
Abi3|Abi3	603	0	337	1562	987	1209
Gngt2|Gngt2	0	50	0	72	171	33
B4galnt2|B4galnt2	0	0	34	106	124	76
Igf2bp1|Igf2bp1	0	0	0	11	4	0
Mir3063|Mir3063	0	0	0	1	0	0
Snf8|Snf8	776	237	702	835	1375	841
Ube2z|Ube2z	187	792	1806	1076	1026	1079
Hoxb3|Hoxb3	0	0	59	41	13	15
Mir10a|Mir10a	0	0	0	0	0	0
Hoxb4|Hoxb4	0	0	0	21	14	20
LOC102632302|LOC102632302	0	151	0	77	139	137
Hoxb2|Hoxb2	48	0	138	142	139	33
Calcoco2|Calcoco2	0	0	3	9	25	13
Ttll6|Ttll6	0	0	0	101	116	45
Gm30084|Gm30084	0	0	0	0	6	0
Snx11|Snx11	787	834	617	1946	1543	1822
Atp5g1|Atp5g1	7842	3390	3807	2213	3519	1604
Cbx1|Cbx1	865	988	1841	2014	1803	1794
Gm11517|Gm11517	0	0	0	36	66	67
Gm38961|Gm38961	0	0	0	0	0	0
Gm11525|Gm11525	0	0	0	84	115	64
Prr15l|Prr15l	0	152	26	177	148	172
Cdk5rap3|Cdk5rap3	3031	1253	2276	2260	1698	1411
Nfe2l1|Nfe2l1	18580	12930	21640	9859	4293	11765
Sp6|Sp6	0	0	0	0	0	0
Gm11532|Gm11532	32	0	296	147	76	119
Scrn2|Scrn2	279	157	753	379	226	106
Sp2|Sp2	316	0	195	586	254	561
Pnpo|Pnpo	2920	1291	2327	1666	1253	1691
D030028A08Rik|D030028A08Rik	346	181	293	858	812	612
Gm30809|Gm30809	0	0	0	22	19	14
Osbpl7|Osbpl7	1672	256	386	1547	1237	1789
Mir8103|Mir8103	0	0	0	13	6	8
Mrpl10|Mrpl10	746	410	787	904	1066	910
Lrrc46|Lrrc46	41	71	0	20	19	54
Mrpl45|Mrpl45	1296	2097	1458	1543	2010	1413
E130012A19Rik|E130012A19Rik	125	0	86	56	26	36
Gpr179|Gpr179	0	21	62	394	338	343
Socs7|Socs7	1131	327	976	2600	2239	2344
Arhgap23|Arhgap23	439	264	622	2128	2601	1869
4933428G20Rik|4933428G20Rik	158	186	154	977	705	658
Mllt6|Mllt6	1184	1093	832	2506	1702	2491
Mir6927|Mir6927	0	0	0	0	0	0
Srcin1|Srcin1	2165	571	2010	6227	3263	5617
Cisd3|Cisd3	235	0	521	285	391	275
Pcgf2|Pcgf2	425	323	321	472	315	780
Tbx21|Tbx21	0	0	0	12	7	0
Tbkbp1|Tbkbp1	810	221	520	1439	916	1076
Mir7235|Mir7235	0	0	0	0	0	0
Npepps|Npepps	3534	1662	4511	5233	6572	5028
Gm11592|Gm11592	253	248	218	102	142	138
Kpnb1|Kpnb1	33092	16600	29989	8857	13371	10658
Pip4k2b|Pip4k2b	822	26	332	506	301	340
Psmb3|Psmb3	3334	3182	2049	1468	2283	1322
Cwc25|Cwc25	2640	1143	923	1153	1631	1052
1700001P01Rik|1700001P01Rik	71	0	62	48	57	28
Rpl23|Rpl23	1641	955	1018	598	1065	589
Snora21|Snora21	0	6	18	2	5	17
Lasp1|Lasp1	2026	2032	1429	2053	788	1506
Fbxo47|Fbxo47	826	270	0	83	119	94
B230217C12Rik|B230217C12Rik	4378	3214	2047	1710	2052	1621
Plxdc1|Plxdc1	2174	755	1410	2248	1052	1987
Arl5c|Arl5c	0	0	0	31	24	15
Cacnb1|Cacnb1	830	304	736	1246	369	1427
Rpl19|Rpl19	4447	1104	1446	898	1713	968
Stac2|Stac2	2248	79	1558	2663	2333	2413
Neurod2|Neurod2	0	142	94	254	366	649
Gm31317|Gm31317	0	0	0	0	0	0
Gm31194|Gm31194	186	155	65	6	36	29
Fbxl20|Fbxl20	2295	1796	4916	4633	4113	4391
Med1|Med1	6451	2927	4738	6343	7551	7139
Cdk12|Cdk12	7739	8860	6688	8253	5901	8022
Mir5119|Mir5119	0	4	6	5	7	8
Gm38963|Gm38963	0	0	0	4	7	0
Ppp1r1b|Ppp1r1b	2502	950	746	1150	687	1038
1700003D09Rik|1700003D09Rik	0	0	0	34	13	0
Stard3|Stard3	3337	1363	3529	4194	2734	3662
Pgap3|Pgap3	726	13	652	484	113	487
Tcap|Tcap	0	0	0	23	19	10
Zpbp2|Zpbp2	0	0	0	0	0	20
Erbb2|Erbb2	519	1181	154	308	173	229
Mien1|Mien1	3806	1429	1518	766	1199	649
Ormdl3|Ormdl3	6852	5211	6343	4821	1933	5270
Psmd3|Psmd3	7262	2665	2528	2856	1627	2374
Med24|Med24	2337	963	3075	2419	1329	2941
Thra|Thra	3829	2182	3003	6069	6841	6106
Nr1d1|Nr1d1	343	480	615	2531	1504	1718
Rapgefl1|Rapgefl1	181	166	459	1014	729	674
Msl1|Msl1	3460	1641	2175	3745	3668	3560
Gm12359|Gm12359	24	9	25	60	30	46
Casc3|Casc3	1541	1489	1620	3653	1954	3342
LOC108167925|LOC108167925	0	19	0	60	19	9
Rara|Rara	0	0	0	240	93	203
Top2a|Top2a	0	0	0	46	25	28
Gjd3|Gjd3	117	94	19	67	49	56
Wipf2|Wipf2	1781	237	2410	2687	2392	2480
Igfbp4|Igfbp4	1248	842	1500	909	721	1639
Tns4|Tns4	109	0	0	31	72	23
Smarce1|Smarce1	2372	388	1305	1583	1816	1375
Krt25|Krt25	0	0	52	46	29	38
Gm32502|Gm32502	0	0	0	0	6	0
Krt26|Krt26	0	0	0	34	15	3
Krt222|Krt222	2275	1260	920	913	1534	973
Gm32385|Gm32385	0	0	0	5	15	7
Krt24|Krt24	0	0	0	7	21	0
Krt10|Krt10	3085	1262	1063	951	1046	967
Krtap17-1|Krtap17-1	0	0	76	43	32	27
LOC102635801|LOC102635801	0	0	0	0	0	0
Gast|Gast	195	0	0	0	0	0
Eif1|Eif1	11877	4263	6307	4584	4588	4212
Jup|Jup	301	330	225	1544	1008	1073
P3h4|P3h4	2198	1382	2793	2999	1674	2540
Hap1|Hap1	4560	2282	6658	10220	722	8575
Ttc25|Ttc25	150	193	184	324	185	98
Fkbp10|Fkbp10	332	0	1044	1207	561	674
Nt5c3b|Nt5c3b	2855	143	1530	1810	2106	2048
Klhl10|Klhl10	12313	9281	8698	4858	9235	6169
Klhl11|Klhl11	2629	0	516	944	1322	1255
Mir7116|Mir7116	0	0	0	0	2	4
Acly|Acly	5778	3909	1949	3042	2538	2525
Kat2a|Kat2a	1290	701	1824	4798	1142	4690
Kcnh4|Kcnh4	41	78	287	141	14	62
Rab5c|Rab5c	1799	1331	1301	1512	914	1462
Hcrt|Hcrt	0	0	0	1275	18	27
Ghdc|Ghdc	409	522	1123	775	738	874
Dnajc7|Dnajc7	3782	2025	2705	5149	5651	4161
Nkiras2|Nkiras2	1149	0	842	723	488	634
Zfp385c|Zfp385c	0	0	0	107	32	14
Dhx58os|Dhx58os	0	0	0	0	0	0
Gm38483|Gm38483	0	0	0	9	0	0
Dhx58|Dhx58	112	0	62	142	238	123
Cnp|Cnp	8162	5044	5993	16789	15615	13753
Ptrf|Ptrf	230	0	795	583	511	550
Stat5a|Stat5a	0	0	51	154	75	62
Stat5b|Stat5b	279	181	1102	1482	1820	1477
Stat3|Stat3	3601	1405	3038	4023	3498	2879
LOC108167926|LOC108167926	1400	1123	170	492	443	433
Coasy|Coasy	2964	634	1249	1087	706	1158
Naglu|Naglu	1399	831	2784	1884	1563	1735
Mlx|Mlx	1757	329	1599	1705	1681	1873
Psmc3ip|Psmc3ip	168	42	58	83	126	84
Tubg2|Tubg2	1046	1468	929	977	1040	795
Plekhh3|Plekhh3	559	71	756	769	124	799
Fam134c|Fam134c	4516	2478	4356	3507	2732	3804
Tubg1|Tubg1	761	1543	1239	1105	1111	876
Atp6v0a1|Atp6v0a1	57958	28285	66157	32174	19325	37134
Mir6928|Mir6928	39	8	30	20	34	20
Ccr10|Ccr10	237	0	80	54	23	26
Cntnap1|Cntnap1	6813	2325	9702	5801	2646	9224
Ramp2|Ramp2	283	436	1077	714	626	1135
Ezh1|Ezh1	2211	1649	2181	3385	1978	2626
Vps25|Vps25	2616	1396	1357	1884	2213	1523
Wnk4|Wnk4	404	0	940	796	259	707
Coa3|Coa3	3709	3006	2583	1637	2114	1586
Cntd1|Cntd1	0	75	0	140	150	70
Becn1|Becn1	5031	2099	3408	3629	4017	3441
Aoc2|Aoc2	0	0	0	266	315	387
Psme3|Psme3	910	1454	3178	3266	1571	2905
Rnd2|Rnd2	770	753	622	679	1002	579
G6pc|G6pc	0	0	0	0	0	0
Ptges3l|Ptges3l	35	0	3	82	77	19
Mir6929|Mir6929	0	0	0	3	0	0
Aarsd1|Aarsd1	2344	1222	1915	1210	872	1074
Rundc1|Rundc1	2271	167	783	2384	2062	1707
Rpl27|Rpl27	3124	1627	1502	602	912	595
Ifi35|Ifi35	573	251	806	594	965	388
Vat1|Vat1	3977	2189	4504	1599	362	1548
Brca1|Brca1	0	0	0	28	79	39
Nbr1|Nbr1	2208	561	561	3350	3187	3375
Tmem106a|Tmem106a	311	0	97	266	580	216
Gm11634|Gm11634	0	0	31	49	78	42
LOC666331|LOC666331	0	0	0	0	0	0
Rdm1|Rdm1	370	314	507	402	433	263
Gm39391|Gm39391	0	0	50	6	10	0
Etv4|Etv4	336	239	117	611	159	557
Gm39392|Gm39392	0	0	0	0	0	0
Rnu2-10|Rnu2-10	0	0	0	4	2	1
Arl4d|Arl4d	22	172	364	531	536	446
Dhx8|Dhx8	441	446	932	988	1180	1016
Dusp3|Dusp3	6876	4511	4651	5116	5525	5114
E130111B04Rik|E130111B04Rik	0	0	28	6	15	12
Mpp3|Mpp3	1096	149	716	2193	1187	2628
Cd300lg|Cd300lg	90	51	60	91	100	109
Gm39393|Gm39393	0	0	0	22	10	55
Gm11586|Gm11586	0	0	0	0	0	0
Nags|Nags	0	0	177	19	0	8
Mpp2|Mpp2	86	38	780	1439	705	1766
Lsm12|Lsm12	1502	412	638	564	480	681
Tmem101|Tmem101	6381	2297	5119	2816	2900	3451
Asb16|Asb16	0	0	0	8	0	0
BC030867|BC030867	0	11	0	22	9	0
Hdac5|Hdac5	3396	874	3965	6309	1745	4706
G6pc3|G6pc3	10528	5520	9507	5485	6075	5795
Mir8101|Mir8101	1	1	1	1	1	1
Atxn7l3|Atxn7l3	2064	908	956	1357	688	1096
Tmub2|Tmub2	6871	6888	6776	6768	7992	6532
Ubtf|Ubtf	2850	1444	1740	2843	2239	2354
Rundc3a|Rundc3a	1293	836	1285	920	1344	1010
Mir6930|Mir6930	23	12	6	1	0	5
Slc25a39|Slc25a39	12645	4085	7044	4436	2419	3467
Itga2b|Itga2b	560	415	241	93	68	117
Fam171a2|Fam171a2	834	925	1097	543	297	471
Grn|Grn	10982	4970	13341	11028	10051	9409
Gm11627|Gm11627	73	0	0	50	53	15
Fzd2|Fzd2	605	0	85	898	703	904
Meioc|Meioc	222	173	48	20	63	44
Gm34392|Gm34392	78	67	5	36	20	47
Ccdc43|Ccdc43	1636	848	834	1255	1437	1008
Gm39501|Gm39501	0	0	0	4	5	10
Gm16342|Gm16342	152	197	102	150	154	171
Gjc1|Gjc1	0	29	0	330	549	423
Gpatch8|Gpatch8	12254	11094	11808	18776	23924	17638
Fam187a|Fam187a	0	0	1	0	4	0
Ccdc103|Ccdc103	153	12	112	22	62	7
Adam11|Adam11	5721	3615	4271	6836	2299	8680
Higd1b|Higd1b	0	0	46	152	195	136
Eftud2|Eftud2	1951	633	1609	2379	1619	2347
C1ql1|C1ql1	1624	508	597	417	416	291
Gfap|Gfap	15051	5277	12981	11400	11981	10972
Gm34620|Gm34620	0	34	38	89	36	90
Mir6931|Mir6931	0	0	0	2	3	0
Gm42090|Gm42090	71	0	39	24	18	38
Dcakd|Dcakd	502	405	1062	1396	1122	1059
Nmt1|Nmt1	980	980	895	837	1134	767
Hexim1|Hexim1	350	56	464	733	757	600
Plcd3|Plcd3	494	164	280	623	380	501
Acbd4|Acbd4	3297	677	1207	1901	792	1231
Hexim2|Hexim2	905	286	1043	595	622	480
Gm34823|Gm34823	26	0	0	0	0	6
Gm39396|Gm39396	35	0	18	16	2	22
Map3k14|Map3k14	423	0	567	639	244	466
Fmnl1|Fmnl1	516	421	681	1032	564	1085
Gm20511|Gm20511	87	111	48	37	14	21
1700023F06Rik|1700023F06Rik	52	64	147	156	129	142
Spata32|Spata32	7	0	0	173	25	131
Arhgap27|Arhgap27	1085	207	443	1361	641	907
Arhgap27os3|Arhgap27os3	0	0	0	40	8	10
Rprml|Rprml	0	0	0	126	55	233
Plekhm1|Plekhm1	154	346	330	1135	435	738
Wnt3|Wnt3	131	0	871	1085	698	578
Gosr2|Gosr2	1775	38	1697	1731	1655	1667
C130046K22Rik|C130046K22Rik	629	0	16	297	158	133
Gm42092|Gm42092	0	0	0	0	0	0
Arf2|Arf2	3045	1548	1325	1402	1441	1185
Nsf|Nsf	13153	7484	9907	11676	9058	9969
Gm35365|Gm35365	0	0	242	281	252	206
Gm35311|Gm35311	4	0	0	12	12	43
Crhr1|Crhr1	8378	4035	7803	2569	1478	2786
Gm35469|Gm35469	23	0	39	48	21	7
Mapt|Mapt	6171	3474	5961	20134	24419	16074
Kansl1|Kansl1	1538	3071	4271	5637	6179	4477
Cdc27|Cdc27	3432	1479	1428	1487	2172	1704
Myl4|Myl4	98	0	8	30	43	42
Gm11665|Gm11665	10	0	0	0	5	0
Gm7020|Gm7020	0	0	4	5	0	3
Efcab3|Efcab3	0	0	173	22	23	3
LOC105242472|LOC105242472	0	0	15	45	56	22
Mettl2|Mettl2	2123	1558	1810	1991	1886	1307
Mrc2|Mrc2	269	348	0	673	516	1021
Tlk2|Tlk2	1310	579	1017	1151	1293	927
1700052K11Rik|1700052K11Rik	1278	1085	1394	594	247	403
March10|March10	39	0	91	100	44	62
Gm39417|Gm39417	0	134	0	15	19	33
Tanc2|Tanc2	5243	5737	6995	8437	10183	7519
Gm11651|Gm11651	8	0	0	2	0	0
Ace|Ace	1014	625	2965	1564	1020	1538
Ace3|Ace3	0	0	142	15	12	10
Gm35971|Gm35971	7	0	11	5	22	0
Kcnh6|Kcnh6	1200	366	684	799	1065	616
Cyb561|Cyb561	15351	17899	22088	7015	4487	7340
LOC108167928|LOC108167928	132	150	330	361	154	180
Taco1|Taco1	906	932	297	331	500	259
Dcaf7|Dcaf7	5309	2429	4170	3833	2912	3577
Strada|Strada	311	548	510	969	1624	1192
Map3k3|Map3k3	1148	1849	2544	2694	3144	2618
Limd2|Limd2	879	561	498	685	587	667
Gm36220|Gm36220	131	150	167	74	174	112
Snord104|Snord104	170	130	147	72	163	100
Ern1|Ern1	554	580	563	418	309	459
Tex2|Tex2	3927	505	5270	3391	3450	3985
Smarcd2|Smarcd2	485	454	221	968	859	702
Tcam1|Tcam1	288	110	38	80	86	91
Psmc5|Psmc5	11049	5581	5765	4804	6056	3550
Ddx42|Ddx42	7290	4836	4985	5997	7955	5898
Ccdc47|Ccdc47	33147	26043	22305	14699	23798	18414
Ftsj3|Ftsj3	987	1441	827	1630	1783	1650
Gm39424|Gm39424	22	0	0	72	22	0
1810010H24Rik|1810010H24Rik	297	0	0	195	223	85
Gm36273|Gm36273	0	0	13	2	9	0
Kpna2|Kpna2	1082	32	1072	779	1165	543
Smurf2|Smurf2	1326	378	1066	970	1386	1207
Milr1|Milr1	0	0	67	91	273	124
Polg2|Polg2	0	247	255	378	436	361
Cep95|Cep95	1203	216	830	1137	1493	904
Ddx5|Ddx5	14959	11817	13820	24642	31366	34963
Mir3064|Mir3064	196	188	200	599	624	664
Bptf|Bptf	4356	1386	3953	5953	8388	4437
Gm39425|Gm39425	0	0	0	48	82	11
Nol11|Nol11	2167	1063	1576	1643	1955	1404
Gm11715|Gm11715	0	29	25	0	5	0
A830035A12Rik|A830035A12Rik	0	0	0	0	0	0
Pitpnc1|Pitpnc1	3532	3347	4349	10483	14861	8713
Gm11716|Gm11716	32	281	13	244	164	254
Gm11713|Gm11713	349	0	72	482	573	408
LOC108167930|LOC108167930	0	0	0	29	26	31
Psmd12|Psmd12	5705	3607	3324	3608	4583	3050
LOC108167931|LOC108167931	0	0	55	72	51	16
Cacng4|Cacng4	173	373	333	575	348	453
Gm39426|Gm39426	0	0	0	5	19	59
Helz|Helz	5023	4294	6809	7096	2620	7546
Mir6932|Mir6932	0	0	9	6	1	6
Cacng5|Cacng5	5066	2679	7326	2419	1226	1983
Axin2|Axin2	1526	101	409	850	547	966
Rgs9|Rgs9	642	290	562	919	634	700
Prkca|Prkca	5430	3155	7780	4200	4228	3275
Mir7223|Mir7223	0	0	2	2	1	0
Amz2|Amz2	1462	487	1365	1358	1023	947
Gna13|Gna13	3494	1088	3063	2708	2808	2124
Gm11696|Gm11696	256	672	478	229	270	260
Cep112|Cep112	18	377	60	1133	1041	1023
LOC108167933|LOC108167933	0	0	0	0	4	0
Cep112it|Cep112it	0	0	139	240	163	115
Gm36818|Gm36818	0	0	0	270	269	88
Slc16a6|Slc16a6	3362	1762	924	1993	2078	1519
Arsg|Arsg	2263	157	1604	4999	6514	4538
LOC100503496|LOC100503496	36	0	11	18	31	30
Wipi1|Wipi1	0	49	248	1035	886	606
LOC108167935|LOC108167935	0	0	104	210	140	177
Fam20a|Fam20a	0	202	476	1485	1117	1194
LOC105243553|LOC105243553	156	373	0	1270	1983	880
Abca9|Abca9	636	217	476	1332	2280	1209
Abca8b|Abca8b	2063	2556	1899	855	1118	984
Gm39444|Gm39444	0	0	33	42	35	13
Prkar1a|Prkar1a	31968	18048	24319	18825	25284	22442
Gm39443|Gm39443	0	68	0	8	20	48
Map2k6|Map2k6	689	1587	670	1083	1622	916
Gm39446|Gm39446	0	29	0	6	19	32
Kcnj16|Kcnj16	3227	473	1336	2030	3282	1762
Kcnj2|Kcnj2	878	475	458	236	523	442
Abca5|Abca5	6680	7310	5577	3895	5127	5073
Gm30158|Gm30158	0	0	0	523	517	305
Sox9|Sox9	2420	1138	1839	3772	2480	3814
Gm39467|Gm39467	0	0	240	361	226	300
2610035D17Rik|2610035D17Rik	798	482	1105	2002	1640	1547
Cdc42ep4|Cdc42ep4	1721	203	1106	920	275	884
1700025D23Rik|1700025D23Rik	0	0	0	0	0	0
Slc39a11|Slc39a11	6514	3527	5459	1983	1319	2082
Gm42094|Gm42094	120	0	97	39	59	19
Cog1|Cog1	2575	560	1996	3181	1065	2158
D11Wsu47e|D11Wsu47e	752	254	528	575	338	432
Cpsf4l|Cpsf4l	138	134	30	55	56	31
Sstr2|Sstr2	1108	358	550	721	806	1057
Fam104a|Fam104a	2423	705	1850	2182	1644	1691
Rpl38|Rpl38	3111	1076	1203	381	865	582
Ttyh2|Ttyh2	1225	761	1790	9352	7816	14616
Sdk2|Sdk2	1177	1506	1071	2313	1062	2103
Gm39468|Gm39468	0	0	0	6	0	11
Gprc5c|Gprc5c	0	0	341	500	355	378
Cd300a|Cd300a	0	0	490	363	694	326
Kif19a|Kif19a	0	17	0	167	41	195
Btbd17|Btbd17	2992	1760	1511	6619	4798	4767
Gpr142|Gpr142	0	0	0	0	7	0
Rab37|Rab37	394	34	310	2044	841	1093
Cd300lf|Cd300lf	80	0	129	153	183	110
Grin2c|Grin2c	959	1057	919	2208	746	1438
Slc9a3r1|Slc9a3r1	2356	711	675	1175	573	813
Nat9|Nat9	612	186	517	439	679	440
Tmem104|Tmem104	3692	2665	3855	3204	1015	2910
Fdxr|Fdxr	954	226	814	1400	735	920
Fads6|Fads6	2814	820	1849	2490	3138	2501
Ush1g|Ush1g	0	0	0	31	10	0
Otop2|Otop2	0	0	176	16	8	0
Otop3|Otop3	282	0	0	26	31	89
Gm32013|Gm32013	129	0	77	210	105	94
Cdr2l|Cdr2l	612	135	439	1782	989	1305
Ict1|Ict1	1672	293	759	840	1092	670
Hid1|Hid1	9545	4805	9532	7266	3083	5763
Kctd2|Kctd2	388	435	499	408	549	347
Gm11695|Gm11695	0	0	0	0	0	0
Slc16a5|Slc16a5	0	191	11	30	54	16
Atp5h|Atp5h	7826	4044	3980	3082	3986	2789
Armc7|Armc7	1121	598	105	389	355	233
