	FT01DA	FT02DA	FT04DA	FT01nDA	FT02nDA	FT04nDA
Cnnm4|Cnnm4	9014	8178	12937	4382	4933	4955
Uggt1|Uggt1	10074	6316	8698	5458	6582	5288
Mir6897|Mir6897	0	0	7	2	1	1
Gm39625|Gm39625	0	0	3	3	0	0
Cnnm3|Cnnm3	2492	260	2107	1923	2053	1686
Ankrd23|Ankrd23	929	0	299	2185	1204	1703
Ankrd39|Ankrd39	1825	248	1178	2029	822	1368
Sema4c|Sema4c	847	1330	2497	1196	137	1684
Cox5b|Cox5b	5608	1975	2423	1498	2532	1614
4933424G06Rik|4933424G06Rik	0	0	45	27	11	24
Gm33533|Gm33533	259	147	249	690	516	397
Actr1b|Actr1b	5303	1724	2678	3745	1717	3260
Vwa3b|Vwa3b	0	0	0	57	26	38
Gm39626|Gm39626	0	0	0	0	4	0
Gm37020|Gm37020	0	0	0	99	27	61
Tmem131|Tmem131	4831	1328	4131	3914	3888	3516
Inpp4a|Inpp4a	9419	9360	14159	12276	16323	15199
4930439A04Rik|4930439A04Rik	0	0	9	456	764	264
Unc50|Unc50	6524	5688	6730	4862	7621	4373
Coa5|Coa5	1390	1818	1795	757	949	751
2010300C02Rik|2010300C02Rik	0	0	32	645	304	929
LOC102637491|LOC102637491	0	201	84	58	27	61
LOC102637336|LOC102637336	0	0	0	14	5	12
Gm39628|Gm39628	0	73	64	132	111	223
Lipt1|Lipt1	125	0	288	313	348	340
Mgat4a|Mgat4a	2440	1707	2272	1908	1941	2018
Gm39627|Gm39627	0	0	40	0	5	12
4930594C11Rik|4930594C11Rik	177	502	132	245	235	236
Tsga10|Tsga10	1743	1398	881	931	944	1009
Mitd1|Mitd1	3170	1112	1512	1382	1589	1090
Mrpl30|Mrpl30	2800	1061	969	1295	1604	1105
Txndc9|Txndc9	2435	2096	1648	2411	3199	1800
Rev1|Rev1	3608	1891	1810	3570	2814	2792
Eif5b|Eif5b	6079	5267	4009	6759	7762	5902
Gm34448|Gm34448	0	63	6	30	20	13
Lonrf2|Lonrf2	729	1187	1852	1289	1545	1608
Aff3|Aff3	906	118	191	918	1075	945
Gm16150|Gm16150	870	146	1018	783	1026	609
LOC108167619|LOC108167619	136	990	1019	2111	1886	1518
Pdcl3|Pdcl3	1860	1137	1107	1276	1557	1048
Chst10|Chst10	17740	7562	13561	7471	5901	7165
Npas2|Npas2	112	0	21	454	338	282
Cnot11|Cnot11	310	628	607	554	314	540
Tbc1d8|Tbc1d8	1185	765	2153	2538	1416	1603
Rpl31|Rpl31	3134	1469	2230	963	1515	931
Snord89|Snord89	23	0	23	7	40	24
Rnf149|Rnf149	3674	2047	2971	1612	2720	1643
Rfx8|Rfx8	0	8	0	35	27	23
Creg2|Creg2	6982	3210	5546	4094	3070	5093
D930019O06Rik|D930019O06Rik	635	159	262	277	225	235
Map4k4|Map4k4	1995	185	430	1440	3202	1277
Il1r2|Il1r2	0	0	0	67	55	7
Gm16894|Gm16894	767	485	597	665	765	515
Il1r1|Il1r1	112	0	130	260	231	462
Il1rl2|Il1rl2	0	709	0	140	172	167
Slc9a2|Slc9a2	363	0	182	318	336	730
Gm37915|Gm37915	0	0	7	12	15	13
Mfsd9|Mfsd9	4209	362	1696	748	603	544
Gm28175|Gm28175	79	186	90	139	195	222
Gm30248|Gm30248	0	0	30	77	28	33
LOC108167623|LOC108167623	17	89	32	21	0	5
Gm42411|Gm42411	385	273	90	170	210	176
Pantr1|Pantr1	614	277	190	231	340	208
Pou3f3|Pou3f3	339	131	211	321	435	334
2900092D14Rik|2900092D14Rik	1196	472	543	575	1065	709
Pantr2|Pantr2	108	83	86	249	309	252
LOC108167622|LOC108167622	0	0	0	38	67	34
Mrps9|Mrps9	785	0	1001	1130	1591	832
