	x	y	pval	padj
C230079O03Rik|C230079O03Rik	DA	nDA	0.00135599158028398	0.0103112741639145
5830411N06Rik|5830411N06Rik	DA	nDA	0.00271101316320191	0.0179070628432888
Eps8l2|Eps8l2	DA	nDA	5.62221326244356e-08	1.760796876465e-06
Igf2|Igf2	DA	nDA	2.77559992892958e-26	1.60130203268219e-23
Gm39117|Gm39117	DA	nDA	0.00308126658670258	0.0199558662866412
Ascl2|Ascl2	DA	nDA	1.26761811205101e-05	0.000204221531337165
Tspan32|Tspan32	DA	nDA	3.42037876184747e-06	6.43647756188687e-05
Mrgprf|Mrgprf	DA	nDA	1.38913029028793e-09	6.56334124008241e-08
Cd209a|Cd209a	DA	nDA	7.38244186460607e-05	0.000907204445054702
Cd209f|Cd209f	DA	nDA	2.55987864003721e-05	0.000371411114662711
Gm39129|Gm39129	DA	nDA	6.34308369196312e-05	0.000799651660603263
Rab20|Rab20	DA	nDA	0.0023490876891944	0.0159934936056549
E230013L22Rik|E230013L22Rik	DA	nDA	0.00300428179714861	0.0195322864290893
Xkr5|Xkr5	DA	nDA	0.00938644157590454	0.0474691946178905
Nek5|Nek5	DA	nDA	4.20747714847972e-07	1.01923228205658e-05
1810011O10Rik|1810011O10Rik	DA	nDA	7.76217279600256e-06	0.000132325127687997
Adam18|Adam18	DA	nDA	6.68826344148038e-07	1.54181702868112e-05
Htra4|Htra4	DA	nDA	0.00854891964421063	0.0442464509585188
Kcnu1|Kcnu1	DA	nDA	4.55407560273077e-07	1.09233040961342e-05
Gm32098|Gm32098	DA	nDA	0.00697342305282457	0.0379256644969172
Msr1|Msr1	DA	nDA	2.030622879544e-05	0.000305091810725125
Gm16348|Gm16348	DA	nDA	1.40296258638764e-05	0.000223039512555302
Pdlim3|Pdlim3	DA	nDA	0.000515112003902279	0.00466837555252156
Lrrc25|Lrrc25	DA	nDA	5.51981307870955e-10	2.79296890343216e-08
Pde4c|Pde4c	DA	nDA	0.00030829053707243	0.00300992033319175
Ankle1|Ankle1	DA	nDA	0.00173633828994166	0.0125588071033953
B3gnt3|B3gnt3	DA	nDA	5.29900325194241e-05	0.000686990232361523
F2rl3|F2rl3	DA	nDA	2.28320814315131e-06	4.51757871139947e-05
Gm30605|Gm30605	DA	nDA	0.00857318063930214	0.0443382493879266
Palm3|Palm3	DA	nDA	0.00824734454819429	0.0429877637969718
Gm39215|Gm39215	DA	nDA	0.00518186576992043	0.0300058223121937
Gm35076|Gm35076	DA	nDA	0.00375779441903797	0.0233112979763921
Gm39221|Gm39221	DA	nDA	0.00558369144680584	0.0319611529453029
Irx3os|Irx3os	DA	nDA	0.00517344460839205	0.0299728927457132
Ces5a|Ces5a	DA	nDA	0.000595072415806252	0.0052646378416951
Adgrg5|Adgrg5	DA	nDA	1.45005714102737e-06	3.03046736918427e-05
Adgrg3|Adgrg3	DA	nDA	0.00145296277053379	0.0109049307834345
Gm31518|Gm31518	DA	nDA	0.00573352545020618	0.0326504153080177
Ces2g|Ces2g	DA	nDA	0.00672037895083301	0.0368880490082905
Dpep2|Dpep2	DA	nDA	0.00979600748855605	0.0491436778424747
Cdh1|Cdh1	DA	nDA	7.10847215029045e-11	4.49604485440394e-09
Hydin|Hydin	DA	nDA	0.00514511122653098	0.0298237038289616
Clec18a|Clec18a	DA	nDA	2.50436619900581e-10	1.38295264939054e-08
Chst5|Chst5	DA	nDA	2.55278822840297e-15	4.20787791964499e-13
Foxc2|Foxc2	DA	nDA	9.23459522056824e-07	2.03795885903467e-05
Gm26747|Gm26747	DA	nDA	0.000280248277113772	0.00277878018053605
Gm22|Gm22	DA	nDA	3.29356244849714e-07	8.24966371692093e-06
Gm39271|Gm39271	DA	nDA	3.54599909045366e-07	8.78406079774188e-06
Casp1|Casp1	DA	nDA	5.64329200688369e-09	2.2784141927608e-07
Ap1m2|Ap1m2	DA	nDA	0.00878819118756964	0.045164906026583
St14|St14	DA	nDA	8.95076887048034e-07	1.98812265397711e-05
Robo4|Robo4	DA	nDA	6.40977646528319e-08	1.95440235672327e-06
Robo3|Robo3	DA	nDA	1.42989869635444e-06	2.99690909370731e-05
Crtam|Crtam	DA	nDA	0.000783522512720923	0.0065989873401386
1700063D05Rik|1700063D05Rik	DA	nDA	4.62390646705801e-05	0.000615482097615742
