	x	y	pval	padj
Ppm1j|Ppm1j2	Maintenance	Craving	3.5358176667695e-10	5.46941316272106e-08
Cdh17|Cdh172	Maintenance	Craving	2.65559357541066e-09	2.92380852652714e-07
Gm42269|Gm422692	Maintenance	Craving	1.20243979335574e-08	1.07171741010664e-06
Ptch2|Ptch22	Maintenance	Craving	0.00128792840169225	0.0275814140669037
Map3k6|Map3k62	Maintenance	Craving	1.45961590605845e-08	1.22509555666798e-06
Slc30a2|Slc30a22	Maintenance	Craving	1.40193916766154e-08	1.19817787219731e-06
Ldlrap1|Ldlrap12	Maintenance	Craving	2.76998401460005e-10	4.50832963489297e-08
Slc25a34|Slc25a342	Maintenance	Craving	5.14913973594458e-10	7.64892447918053e-08
Tas1r1|Tas1r12	Maintenance	Craving	5.30818099844145e-09	5.17464707019941e-07
Htra3|Htra32	Maintenance	Craving	9.97891557418961e-11	1.86775362802107e-08
Gm32374|Gm323742	Maintenance	Craving	1.84840707736708e-10	3.17400323551189e-08
Lrrc43|Lrrc432	Maintenance	Craving	8.43161519282956e-09	7.77277595299568e-07
Gm30003|Gm300032	Maintenance	Craving	1.33396028598828e-08	1.15591364226124e-06
